0,1,2,3,4,5,6,7,8
ACSS2,SULT1A4,CRTC2,CENPU,FOXD2-AS1,VEZT,ZDHHC13,OSCAR,ZNF461
MTA1,RP11-1000B6.3,MAGOHB,FAM53A,ZNF724P,TSN,CFL2,SASS6,SLC22A4
RABL3,PIAS2,HCFC1-AS1,RP3-510H16.3,RP11-803D5.4,BAD,LRIG2,PCGF5,RP11-1114A5.4
ARL13B,EPHB2,PNMA3,FKBP14,PODN,TOR1B,CLCN6,ZNF639,LINC00893
ZNF266,RP11-339B21.11,IGSF9B,GAN,RP6-206I17.1,ZNF611,TEP1,NEU1,RP5-1024G6.7
SLC2A11,CABLES2,SCMH1,FSD1L,RP11-849F2.7,CRTC2,RP11-611E13.2,UBAP2,ZNF596
UBR1,CTTN,FBXO28,SCARF1,BRSK1,PHC1,TMEM64,VPS4B,HOOK1
ELP4,CBWD3,TNF,CXCR1,C1orf61,CASC3,LANCL2,CREG1,BEX1
FAM8A1,RP11-498C9.15,R3HDM1,FAM161A,LINC01119,MCEE,PCYOX1L,NFAT5,AC005253.2
NACC1,IDO1,NOMO1,RP5-1148A21.3,KLHL25,USP9X,COG6,NFKB2,BCL2L2
PELO,ATP8B3,MAML2,AGAP4,AC093642.3,CXorf40A,FAHD2B,ESYT2,WLS
BPNT1,PLA2G4C,TMEM138,ZNF653,ZNF284,LEPRE1,CUL5,REST,ANKLE1
NAALADL1,AGAP4,GTPBP6,MED24,RP11-106M3.3,ZBED5,CTB-55O6.12,C11orf54,PRMT5-AS1
PAXBP1,MCC,CAMK2G,CTC-428G20.6,SLC23A3,PJA2,HNRNPUL1,PRKAR1B,AC004257.3
KIAA0907,LONRF3,LMBRD1,MIR155HG,TULP2,LPAR6,SCO1,ARHGEF6,CTB-55O6.4
C4orf29,PKD2,RP11-285F7.2,SLC45A4,NCKAP1,C16orf93,PDZD8,ERI1,KLHL3
FXYD2,ZNF883,AC015987.2,LGALS12,CD1E,PI4K2B,TGS1,RP11-127B20.3,GPRASP1
AFF4,HDAC11,C8orf44,ZNF565,DUSP19,RRP8,BRPF1,ARHGAP18,CPED1
WDR53,NT5M,HBP1,LEPR,RP3-477O4.16,ANKS1A,OXR1,TECR,HSD17B14
PDP1,RP11-566E18.3,RUFY1,GAB1,RP11-666A1.5,KLHL7,LFNG,NEK6,ZNF813
KB-1208A12.3,RNF219-AS1,WDR46,ECHDC3,KIF2C,CCZ1,PCSK5,SSR2,ZNF613
C2orf74,NUMBL,OXA1L,SHPK-1,L3MBTL4,TLR6,BCL2L13,MLYCD,NOS3
AHCTF1,STAU1,GLTSCR1L,ZNF778,C22orf43,AQP9,ERF,KDM6B,KCNC3
PSKH1,ANKDD1A,ABCA5,USP51,CTD-3088G3.8,MMEL1,OTUD4,PF4,SPATA7
ZNF468,LPHN1,TRIM11,AMACR,AL020996.1,DERL2,AMPD3,SDPR,FKBP7
CEP70,CTD-3195I5.1,MGRN1,IDO1,RP11-23P13.7,ANKRD13A,CEP350,DICER1,PPP2R3B
SPTBN1,RGAG4,C12orf4,ZNF532,SOX13,CLN6,NUDT9,FLNA,SLC9A7
LRRC57,CBLN3,ASCC1,SNTA1,CTD-2135D7.5,TOR3A,PPIL2,PRPF38B,BEST4
GALNS,ZNF565,SLAMF6,TMEM117,CRYGS,UBOX5,DYM,DNAJC10,ZFP69B
DNAJC24,IPO13,P4HA1,DRAXIN,PAPL,MARCH7,RP4-758J18.2,SLC25A22,ZNF283
POLE3,CXXC5,GRAP,RP11-338I21.1,P2RY12,ZFYVE20,DYRK1A,TMEM131,CEACAM1
PVRIG,DAG1,DLEU1,RP11-69E11.4,RFPL1S,COG3,MDM4,KLF12,ACRC
RABL5,RP11-61J19.4,RFNG,RP11-793H13.3,RP11-98D18.3,DTNBP1,PTRH1,DLG1,PLTP
NOLC1,LRRC3,ABL2,TTC26,CDCA8,SEC16A,MCTP2,NOC3L,NAP1L3
C3orf58,CD274,AKAP5,CTD-3195I5.1,RP11-731C17.2,COPS8,TICAM1,BMI1,CTB-43P18.1
ZNF85,SLC25A16,CCDC180,C11orf84,DPEP3,CPM,DIABLO,C2orf43,APOOL
BCR,AC002116.7,SLC29A2,DNM3,MRPL30,OGFOD3,FBXO42,C1orf174,THAP9
RBM12B,SHPK-1,RP13-582O9.7,MBLAC1,PTPRM,AIFM1,FLYWCH1,PRPF38A,COPZ2
ZNF507,DRAXIN,KLHL22,SPESP1,SLC2A1-AS1,POLDIP3,URGCP,TRAFD1,RP11-440L14.1
A1BG-AS1,KIF3C,ECHS1,CHML,LYG1,PF4,TIMM21,CETN2,GRK4
MED26,RP11-295P9.3,NDUFB2-AS1,RP11-96K19.5,CXCL9,SAYSD1,KCTD15,GEMIN6,MARC2
GOLGA4,PRICKLE4,CCNB1,TNNC2,CTRL,NUMA1,RP13-582O9.7,SHOC2,CLEC4C
FAM73B,EXOC3,RP11-158K1.3,HP,RP11-286E11.1,BET1,MPZ,FGD2,RP5-935K16.1
XPNPEP3,H2AFX,RP11-415F23.4,JAM3,NRN1L,TGS1,ANKRA2,CPOX,RNF212
DBN1,CLIP4,KLHL24,HESX1,RIMS3,CCDC88B,ZNF785,GPATCH2L,SGOL1
PAPD5,BAP1,AFAP1,NUMBL,RP11-600F24.7,GALNT6,LINC00843,ING3,TOP2A
CC2D1A,COA1,GSDMB,POLA1,SORBS1,GTPBP6,PGBD4,DYNC1LI2,LINC00422
KIAA1279,SDF2L1,GUK1,AC093391.2,NUP62CL,DDX58,ZBTB47,NDEL1,CTD-2371O3.2
BTRC,ZNF398,HUS1B,RP11-379H18.1,SPIRE1,PDE4B,RP1-241P17.4,NNT,ZNF717
ZNF324,PANK3,VILL,RP11-190C22.8,KIAA1211L,METTL22,TMEM216,NAA15,PLEKHA7
CTD-2260A17.2,SLC9A8,PRKAB1,ZNF665,AP001610.5,TFIP11,JAKMIP2,SLC35A4,AC069363.1
GCNT2,PRCC,RP11-110G21.1,RHBDL1,CERKL,SNCA,CHEK1,HPS5,MB21D2
OSGEPL1,ZBTB17,CACNA1I,KCNN1,CTD-2555C10.3,UPRT,CCNB1,EMC4,CRYBG3-1
KIAA1324,YTHDF3-AS1,CPNE7,C11orf63,PLCH2,ELMO2,CCNA2,GTSF1,RP11-452L6.1
LONRF1,MIER2,TRAF3IP2,RP11-367J11.2,EPM2A,KLF2,SPIN4,SGMS1,CENPF
PBX3,BTAF1,LINC00843,RSG1,ZNF763,NDOR1,KIAA1524,RPTOR,PDZD7
ARL17B,SFT2D3,UBXN4,TEX2,ZNF541,GRASP,PPIL3,LMNB2,GDPD3
RPRD1B,TMEM167B,CTD-3185P2.1,PITPNA-AS1,RP5-930J4.4,EMR3,NDST1,BRWD1,MFSD4
SPECC1L,KIF13B,DEDD2,DOK3,EVC,PELI3,VDAC1,QKI,BZRAP1
FAM220A,ARL2,TMEM86B,MED12,UBXN10,RP11-262H14.1,DIDO1,UBE2K,GPAM
ZNF382,FZD1,FAU,ZNF189,CTC-366B18.2,CTC-459F4.3,BAD,FBXL12,RP11-367J11.3
FAM102B,CRKL,C9orf114,PPP1R12B,RP11-388M20.6,PNMA5,LIN37,TMEM128,SLC30A4
ZNF764,RP11-1007O24.3,APOLD1,INTS2,RP11-544A12.4,PLEKHA8,NAA30,TRIM14,HSD11B1
RP11-488C13.5,SH3RF1,INPP5B,ACCS,LINC00562,IL23R,LIN52,DUSP14,TAS2R14
TMEM194A,KIF11,C21orf2,AHCYL2,HAS3,TMEM126B,SLC4A7,TGIF1,PROK2
GS1-124K5.11,TLR6,SNRPG,NLN,CTD-2033A16.3,AP3B1,CCDC126,PRR14L,FANK1
C19orf40,SH2B1,RP11-356I2.4,STARD5,CTC-338M12.6,SLC8A1,RPAP2,TMEM39A,IFT172
MAGEE1,BCORL1,ARSK,USP13,C3orf52,RP11-126K1.2,EIF2B5,POLB,VENTX
SMYD5,PIP4K2A,GRPEL1,LETM2,RP11-36B15.1,ZKSCAN1,PPP1R16A,EIF3G,STX18-AS1
AC145212.1,RAB3A,PI4K2B,PRC1,FGF9,KLHL8,UCK2,HDAC9,A2M
METTL6,EEF2K,RRP36,ALG10,CCDC163P,ST6GALNAC2,AP4S1,ZNF395,PRSS36
WBP1,REEP6,DHRS3,CTA-445C9.15,KLB,AC015987.2,PPAT,ZFHX3,PLLP
ZNF525,PTPDC1,LINC00152,NRBP1,FOXD2,MINA,ALDH3A2,ORC4,FAM111B
NOL3,MAP2K5,VHL,AP001372.2,HIST1H4K,DGCR14,PMS2,EVI2A,AP000442.1
RP11-85A1.3,RP1-43E13.2,MKRN2,NOL7,AP000254.8,CTB-55O6.12,XRN1,GPR89A,SERPINF2
ZSCAN5A,FBXO30,COQ4,B3GAT2,WNK3,XPO1,LPCAT3,PHC2,RP11-730K11.1
ZNF320,PDE6G,SYNC,ACAP2,PPT2-EGFL8,SETD1B,DROSHA,PRNP,USP3-AS1
LINC00843,LHFPL2,TMEM30A,DARS2,RP11-56G10.2,TEP1,ANKRD13D,CASP4,CARNS1
DVL3,C6orf1,ZNF689,HIST1H2BJ,RP11-588G21.2,SLC3A2,CEP44,GATAD2A,RP11-158I9.5
RP11-517P14.2,RP11-162G10.5,AL592183.1,KPNA6,CTD-2541M15.4,ACTR8,ZNF48,CD58,ZNF80
CYB5D1,TESK1,DHODH,CCDC102B,RP11-242D8.1,GLO1,KDM6A,TMEM71,ZNF19
GPR150,PET112,FAM193B,CEP41,SPEG,CSPP1,CAMK2D,RPF2,IFT122
LCMT2,CLEC1B,ZC2HC1A,PAXIP1-AS2,MAMSTR,TMEM229B,ANKRD27,LZIC,SLC46A1
CNIH3,GADD45G,MAPKAP1,TBKBP1,SEPP1,ITPRIP,AGO4,PGM1,LAYN
ZNF260,SPAST,IGFBP3,HACE1,RP11-260M2.1,PRR3,ATP6V0A2,ARV1,RP11-960L18.1
USP45,PIGV,MTOR,PUS10,ZNF396,MED31,CENPH,SNRNP200,CDT1
ZNF418,MT1E,IDUA,SH3BP5L,RP3-329E20.2,RNF19A,DCAF8,SLC38A2,ME3
LYSMD4,KLHDC7B,C17orf62,ATL2,C1orf204,TSPAN3,SEC23IP,RPAP3,ALG1L
NPIPA1,C6orf120,CNOT6,PQLC2,CALD1,S1PR1,GZF1,SIGIRR,ZNF513
ZRANB3,KLHL5,NEMF,TNK1,LRP5,VIPAS39,CCDC92,MOB2,GRAMD1B
KIF9,TIMM21,WEE1,NAA35,RBL1-1,ASH2L,CNFN,D2HGDH,CTD-3074O7.12
ZNF341,SIK2,PARD6A,UBQLN4,RP11-111J6.2,CPSF3L,VEGFB,TRIM26,KCNK7
ZNF540,SMARCC1,PLCB1,HAUS5,EFEMP2,ZNF143,RP11-15A1.3,SS18,RP11-598F7.3
AKAP5,TRIM44,SUSD4,COL9A2,VIPR2,RNF4,SBF1,SGK223,LEKR1
ANGPT2,ZC3H18,ZNF410,TRIP6,RP11-265P11.2,HSP90AA1,REV3L,RP5-1091N2.9,PIK3R6
BRICD5,CRLS1,ZC3H10,DDIT3,C7orf25,RP11-1070N10.3,PARP3,CREB1,B4GALNT3
SLC29A2,SUCO,KIAA0195,GTPBP2,ZNF425,ALG5,DHDDS,C1orf27,MAP4K3
RP11-425I13.3,ZNHIT2,CRTC1,JOSD1,RP11-452H21.4,TBC1D15,ZFYVE19,SUV420H2,CAND2
CTA-384D8.36,TARS,TRAF5,B3GALT4,AQP10,PNPLA4,TTC37,WWOX,EPB41L5
RP4-610C12.3,CASP10,PRKAR1B,NQO1,ITPKB-AS1,ZNF296,CDK17,CIB1,CTC-297N7.5
ZNF283,ITPR1,PRKD2,LENG9,PHLDB1,CANT1,SPATS2,TTC9C,MYO1E
SPATA7,BTBD10,CLINT1,ATG2B,ZBTB8A,POLRMT,SLC41A3,MBIP,PYGM
AC104532.4,BRI3BP,SNRPB2,RPGR,YY2,ITSN1,PHF8,PSEN1,RP11-78O7.2
TMEM201,ALDH6A1,KIAA0226,TIMM21,MIR3615,KDM4C,SMARCD1,EIF2B3,INCENP
RP11-158K1.3,STARD10,AGAP2,ENTPD1-AS1,TTC30B,NR3C2,ADI1,POGZ,B3GNT5
PHOSPHO2,C11orf24,MED22,PPP2R1B,C6orf229,GOLGA3,NDUFS1,PHF12,RAD51AP1
FAM21B,ZNF514,G2E3,FNIP1,AP006222.2,EMC1,MRPS14,IRF5,DNASE1L3
A2M,AC144652.1,CMTR2,TNRC18,RP11-196G11.2,NLN,B4GALT1,PDCD11,DNAAF1
GRK4,WDR7,SLC25A51,GYS1,TLL2,CHAF1B,TXNDC15,SLC25A33,MARVELD1
RBAK,RP3-402G11.25,WDR5,FBXO41,RP4-784A16.5,KCTD21,LENG8-AS1,SLC39A8,MIR940
ZBTB5,USB1,HARS2,RASA1,AC016683.5,TESK1,HEATR2,QSOX1,WDFY3
PRSS36,POP1,RP11-103G8.2,ZNF526,CCDC3,LIN52,AL592284.1,CHERP,LINC00264
NDUFB2-AS1,ARL15,SLC39A3,GUF1,CCL3L1,TBL1XR1,NLRP2,CALHM2,RP11-973H7.1
KIFC2,GALNT3,CSTF1,MFSD3,SCIN,TWISTNB,FICD,GNB5,RP3-455J7.4
RP11-440L14.1,CNNM3,PCF11,ZNF628,AGAP1,SEC24A,ZNF429,SPAG9,RP11-499P20.2
BEX1,HMGA1P4,ZSCAN16-AS1,STK3,TRIM60,SPAST,NUMA1,PIGO,MORN4
ZNF367,C17orf72,TM2D2,RP11-182L21.6,CTSA,MICU2,ADAMTS10,UHRF1BP1L,LBX2-AS1
RP11-78O7.2,CTD-2231E14.8,RELL2,AKT3,GTSF1,MAX,GLIPR1,AHI1,TRAF3IP1
KLHL3,ATP6V1G1,ZNF24,ZNF684,SNX15,SNX15,RICTOR,SAFB2,CENPE
GRAMD1B,TCEANC,IKBKAP,GMFB,RAB2B,FAM35A,PTCH1,FTSJ3,HYKK
UBE2C,UVSSA,ZNF259,KLC2,RP11-734K2.4,MBTPS2,PLEKHG1,RFTN1,ZMYND19
RP11-1114A5.4,SLC43A1,TUG1,ZNF134,SPA17,THOC7,AP006621.5,METTL21A,AVIL
LMTK2,OXR1,RFC3,MPV17L2,ATP6V1C2,MIER2,LIPT1,FBXO22,CCDC154
RFPL2,EZH1,BOD1,FAM221A,PSMG3-AS1,ZC3H11A,WDR12,HGS,TMIE
CTD-2368P22.1,KDM3B,LNPEP,BAG4,RALGAPB,SKIL,MEX3C,ZNF394,TMCC3
CTB-152G17.6,PPP2R5B,MIA3,TTI2,RP11-78A19.3,ADCK4,REEP4,YARS2,UGT8
P2RY11,C1QA,SP1,TRIM16,RP11-319G6.1,ACSL4,SPATA2,CHAMP1,OLFM1
LRFN3,CHCHD1,AMBRA1,TP53I13,NEFH,EML2,CUL1,ZDHHC5,ARHGEF11
LEKR1,NEK4,EZH1,RP11-111M22.3,RP11-10L12.4,SPEN,CYB5R3,COL4A3BP,LINC00694
RP11-142C4.6,TUBB1,PCNXL2,TMEM185B,DNAJC18,ZNF44,ACOX1,DNAJC3,RP11-181C3.1
AP000442.1,DET1,SRFBP1,LMAN1,AC142528.1,TMCO3,USP34,KLHDC2,TTC24
ZFP69B,GNPDA1,MFSD8,CTB-133G6.1,ROPN1L,CIDEB,NRD1,CAPZB,PLK4
TONSL,SUCLA2,BPTF,ZNF426,SLC38A6,NACA2,SHPRH,DHRS1,SLC27A4
CDK20,PKD1,AC022182.3,RWDD2A,ASUN,NRL,ZNF699,CD19,RP4-610C12.3
BEST4,ABAT,MRPS24,GDAP2,GS1-124K5.3,LRRK1,SORL1,UBTF,MIR4453
MBOAT2,CENPBD1,MRM1,SCAF8,PIK3CB,PPP4R2,WDR20,WDFY4,ZNF483
B3GNT5,ERAP1,SPRTN,UHMK1,DMWD,NFIC,BTBD9,METTL3,DLEC1
THAP9,ARRDC1,PLXDC1,DHX8,ZSWIM3,MTHFR,CNOT10,GRAMD1A,RP11-60I3.5
NOS3,NUAK2,FAM188A,C8orf33,STPG1,UEVLD,ZNF444,EXOSC6,AC159540.1
RPS10P7,KCNC3,NLE1,OXSM,ARG2,CR1,SNX30,KIAA0226,RP11-135A24.4
C5orf42,C5orf42,MUM1,ACOT2,SLC25A23,NMNAT3,TBC1D13,PET117,TMEM241
PYGM,PDZD7,COX19,TRIM26,PPT2,PDCL,PDCD2,VAPA,ACSBG1
CTD-3074O7.12,GPAM,CHN1,PIGG,NEDD1,SCAMP4,SCRN3,ELK4,ST6GALNAC1
ARMCX6,SLC9A7,JAM3,ZBTB17,TMEM53,ACTL10,PHB2,ARID4A,CTD-2288F12.1
PSPN,MAP4K3,RAD52,FLYWCH1,ZSCAN30,RAPGEF2,ZNF628,CLYBL,PAPSS2
C1orf198,ZNF212,PTER,TBC1D9B,CTD-2231E14.8,RABL6,SIK3,TSG101,RPS10P7
TMEM241,PIK3R6,RNF219-AS1,TARBP2,RP11-98D18.9,SLC19A1,ZFP82,XPOT,RP11-506M13.3
TMIE,GRAMD1B,RP11-391M1.4,ZFAND2A,MSTO1,CTDP1,GLTP,C9orf85,LINC00309
PRMT5-AS1,PSMD7,CIAO1,REV1,DNASE1,RP11-85A1.3,GABARAPL1,GCH1,ABCD2
IRS1,ZBTB37,RP11-869B15.1,HNRNPA1L2,ZNF799,AMDHD2,SUMF1,POR,KCNMA1
ATHL1,LINC00265,TIMM21,USP24,FKTN,ETV5,UROD,CLEC11A,BRCA2
ACSBG1,CDKN2B,PEX12,SLC33A1,RP11-1191J2.5,IL1RAP,POLR2K,STK11,MYH11
ZNF324B,CTD-3074O7.12,ZNF30,MTPAP,HEATR3,ZNF335,ZCCHC3,ERGIC2,NPIPA5
ALG1L,THAP9,KIAA1109,TMEM5,ZBTB14,CTD-2538C1.2,ZNF446,GSK3A,KRT72
DMC1,CLEC4C,RP11-415F23.2,TRPS1,PEAK1,STX4,STRADA,RAB8A,TNKS2-AS1
LRRC46,CTD-2368P22.1,C6orf120,SCAF1,ZNF691,SCFD2,TMEM254,ANKRD27,RPH3A
TVP23A,MBOAT2,SUV420H1,IZUMO4,LINC01023,SLC35B3,ZNF573,HDLBP,PRPF40B
RP11-692D12.1,RP11-506M13.3,AC103563.8,UBE3D,WDR19,G3BP2,PPP2R1B,TAPSAR1,BIRC5
UNC45B,GPRASP1,RAB2A,DDX52,RP11-47A8.5,PCIF1,LINC00685,PRPSAP1,CXCL3
JARID2-AS1,RP11-440L14.1,TFIP11,BTAF1,HIST1H2AG,FDX1L,RABGAP1,ATG13,BCAT1
SLFNL1,BEX1,CKS2,ZNF254,LILRA4,ZNF34,EWSR1,SUGP2,ASAH2
MLLT4,WRNIP1,PSMC1,WWP2,SIRT3,SLC38A10,NARS,ATXN3,RGS9
HSF5,ME3,ADARB1,PRPF3,C17orf72,TMEM79,HIRIP3,TRAPPC12,AXIN2
OSGEPL1-AS1,DLEC1,UBXN1,EXOSC7,SLC43A1,C12orf4,AC016629.8,KPNA4,RAB11FIP5
DCUN1D3,APOOL,TBC1D10A,NCAPH2,RBM48,HERC3,ATAD3A,BTN2A2,RP11-1060J15.4
B3GNT4,GRK4,RAB5B,PIGU,WDR7,WDYHV1,TCHP,TGS1,STARD9
NUGGC,CTB-43P18.1,PMS2,MED11,BRMS1L,RBM17,RNF40,ARPC1A,CHST10
ZNF365,IFT122,AKAP11,ACAP3,ACY1,HSPA9,UBL4A,RMND1,ARPP19
PRKAR2A-AS1,TMEM241,QRICH1,BRAT1,MIR181A1HG,TNF,HEMK1,MARCH6,MRPL51
MTCP1,CTB-55O6.4,ABCC10,FAM105B,GINS4,TRIM4,SCYL1,SCAMP3,PTPN4
GRAMD1C,UFSP1,FOXJ2,NRAS,RP11-166P13.3,MED25,TMEM256-PLSCR3,NUDT16L1,CSNK1A1
RP1-244F24.1,STT3A,UBE2W,DLAT,NOM1,TPM4,KCTD17,XPO7,DDIT3
PCSK4,RP11-513I15.6,B3GNT1,ZNF195,HERC2,RBBP8,ETV2,MNAT1,PARPBP
RBMS2,RNF212,DUS3L,REST,ZNF394,GTF3C5,KIAA0556,MAGEH1,ALG9
RASIP1,LINC00893,ASB6,INPPL1,ZNF343,CCDC112,DALRD3,NFX1,BACE1
ITIH4,RP11-16E12.1,GRPEL2,TBC1D23,ALOX12,OXSR1,THOC7,THEM4,NR2C2
RP11-89F3.2,HIST1H3A,ZCCHC2,THAP9,PEX11G,SORD,C5orf66,SMUG1,ZNF619
ZHX3,MIR940,YTHDC2,FKBP7,EOGT,C17orf58,C16orf52,CYTIP,KLRC4
IGF2BP3,BZRAP1,RAB33B,PRTFDC1,ASTE1,PCCA,MFSD5,GALNT10,MITF
LSM11,LINC00264,ZNF267,LINC00893,DUSP16,B3GAT3,USP18,C5orf15,PVRL1
NCAPH,RBAK,CCDC23,GDPD3,TCEANC,MRPL3,ZNF577,PTP4A1,HMGN3-AS1
RP6-206I17.2,ZNF596,GFM2,MFSD4,UBE3B,NELFA,CDC37L1,RP4-758J18.2,CCDC146
CYP2D6,PPP2R3B,BAK1,LINC00264,ZNF438,APLF,POLL,MVP,SLC37A2
RP11-160H22.5,ZNF324B,RP11-500C11.3,RNF212,STARD10,MRPL33,ZNF720,UGDH,MSH5
RP11-101E13.5,RP11-135A24.4,OGFOD2,MBOAT2,AL139099.1,ATP6V0A1,ZNF235,HRAS,FANCE
KCNQ5,AC069363.1,ALS2CL,WLS,FAM149B1,FRMD8,RP11-535A5.1,CBFB,ARL6
PGBD3,AL354822.1,TRMT10A,IFT43,FAM98A,TAF1D,ZNF831,CRAT,ADAT2
MAGI3,CRYBG3-1,PLAG1,PRMT5-AS1,CCND2,WDR25,MIPEP,C17orf75,AEBP1
CAV1,ZFYVE1,LZTS2,LINC00265,RTN4IP1,FBXO4,PPP1R13L,CCDC117,U47924.30
CASS4,MOCS3,LAMP3,AC011558.5,ZNF432,NUP98,ZNF501,ABCD4,NKAPL
RP4-549L20.3,ZDHHC18,DDX54,TPM2,ZNF496,ANKRD17,ZNF614,TBRG4,ZNF165
LRP12,NRD1,NUBP1,WBP2NL,TUT1,RHBDD1,GRSF1,CHMP6,HIST1H1B
RAPGEFL1,STK10,WDR47,SLC16A1-AS1,BCAS3,NUP155,PPM1B,NUDT21,RP11-166O4.6
PRR19,SPIDR,RCN3,ACSBG1,PTCD2,MAPK9,TRIM5,IMPAD1,FBXL14
RP11-15H20.7,C16orf86,TRIM14,RP11-499P20.2,CTC-241F20.3,AGTPBP1,CCDC30,BRF1,CUL7
RP11-559M23.1,PDE4DIP,HEATR2,MAPK11,CEBPZ,PHYH,ZNF117,PML,DDR1
VIL1,EDEM1,ZDHHC9,RP11-158I9.5,NAA25,TULP4,PRKX,SERPINB9,TSTD3
TTC4,DFFB,MAP2K6,ZNF613,SCLY,PUSL1,VEZT,THAP11,ZNF852
RP13-314C10.5,ATXN1,SUCO,CDC45,TMEM234,RYK,C17orf80,WDFY2,B3GAT1
PLEKHH2,PPP1CB,TUBGCP6,LINC00309,RP5-821D11.7,CAPN10,FAM229A,VPS37A,TMEM45B
RP11-643M14.1,SOS1,KBTBD2,CRYBG3-1,THUMPD2,EXOSC7,PNPLA8,ARIH1,ARHGAP32
SPDYA,DBT,TATDN1,BEST4,NAB2,SSSCA1,CSRNP2,RP11-35G9.3,RP11-498P14.5
NEUROD2,ATP6V1D,RP11-539L10.2,GPRASP1,PITPNB,AGO1,RETSAT,SH3D19,GNG3
RP11-429J17.2,TGIF1,NOP16,PYGM,MXD1,ZBTB17,ABTB1,RAD17,DKFZP434E1119
MTSS1L,N4BP1,PEX2,IFT122,NUDT8,USP19,PCCA,HPS6,RP11-84C10.2
CTD-2353F22.1,SETD2,ITPR1,RAD51AP1,GALE,SCYL1,RHBDD1,BCS1L,CTD-2035E11.5
CYP4F35P,SPATC1L,CUL1,UFSP1,AGAP2,TBC1D7,FAM136A,RANBP9,PRDM8
FBXO36,MEN1,RINT1,TAS2R14,PDE6B,GLYCTK,WDR25,XRCC6BP1,C8orf31
CTD-2083E4.6,TAOK3,KDM5A,RP5-1024G6.7,TTF2,TIAM1,HADH,MORC2,SETD9
CACNA1C-AS1,MAP4K4,PARP11,AC005253.2,TGFBR1,TMEM170A,FGFR1OP2,SFR1,MTBP
PC,AP2A2,SLC35D2,SLC9A7,REXO1,DNMT1,RP5-882C2.2,MAGED2,RP11-178G16.4
PYCR1,TAF1,ZNF432,AP000442.1,TCF19,VAV2,PYROXD1,NELFE,ZNF503
RP11-1079K10.4,TMEM79,C21orf49,PRPF40B,ZNF236,BTAF1,NUP155,MYO15B,TEC
SYCP3,EGR2,ZNF438,CENPE,USP20,NXPE3,RSU1,RP11-139H15.1,RP11-479G22.8
HCG27,AGAP6,TCAIM,RP11-395B7.4,GTDC1,SERINC2,STRAP,RPRD2,FLT3
ADAM12,FBXW9,SGPP1,ZNF596,CAMK2D,RAB3GAP1,SLC7A6OS,CLPTM1,ENC1
NAP1L3,RP11-126K1.6,ZNF714,RP11-385F7.1,ZNF681,PTGS1,CDC34,INPP4A,RP11-383H13.1
LNPEP,ADAM17,FANCD2,CTD-2368P22.1,ARID2,IFT20,PPP2R2B,SLC52A2,CCNJ
ZNF223-1,ITPR2,ATG10,PLTP,MOB4,MYO10,AP3M1,AKIP1,FAM114A1
SUOX,TMEM62,NPIPB11,THBS1,CSTF1,ITLN1,ZNF85,ITM2A,S100P
RP11-80H8.4,PAXIP1,SNORA76,RP4-610C12.3,USP21,RP11-863P13.2,ALG14,RPP40,STK36
AP001046.6,RP11-634H22.1,PABPC1L,CTD-3074O7.12,BCLAF1,RP11-525A16.4,KTN1,LINC00324,FAM21A
HSF4,RP11-140K17.3,AC144652.1,FSD1,MAN1A2,WDR65,DIEXF,CCNT1,C4orf36
RP11-10K16.1,TP53INP2,HDAC3,ACOT11,MLLT3,CENPP,FASTKD2,DPYSL2,DOK7
C1QTNF4,PKP4,FLNB,SLC27A4,GPR180,NLRP12,DCUN1D1,RGL2,ARHGEF39
SPATA21,TNFRSF10D,MFSD6,CPED1,XXbac-BPG252P9.9,ACYP2,C6orf62,OGFRL1,ZNF484
PHLDB2,ITGAV,CLP1,TRAF3IP1,LANCL1,AP3D1,HYOU1,CECR5,UBAC2-AS1
NPIPB6,DNAJA4,KDM6B,BCL2L2,RP4-758J18.2,SMURF1,OSBPL7,RP11-1398P2.1,ASTN2
PHLPP1,BTBD9,EIF2AK2,RP5-935K16.1,IQSEC1,SURF6,NDUFAF7,GMPR,CCL20
MINOS1-NBL1,PDPK1,CTD-2020K17.1,ABCD2,MAP3K2,PEX11B,CCNG2,HIATL1,CACFD1
AC104809.3,AAGAB,C1orf109,PDCD6IP,C17orf70,RP11-514O12.4,POLR2M,GOT1,GNE
RP11-96D1.11,C17orf103,AARS,AL353354.2,SETD1A,NFIL3,INTS6,CKAP2,RP11-112J3.16
PDE4C,FAM101B,DEDD,AC069363.1,NHEJ1,RP11-407N17.5,ADCK5,C12orf5,RP11-73K9.2
ZNF57,TSNARE1,AKAP1,CENPF,TRAPPC4,SPATA6,ALDOA,WDR60,SLC25A30
RGPD2,WDR4,TATDN2,LAYN,HSD17B10,CDK13,TDP1,ZNF90,CTD-2256P15.4
RP11-114O18.1,TSHZ1,RP11-421L21.3,APOOL,AP3B1,SNED1,DCAF12,TATDN1,EPHA4
RNU11,ETV2,PMPCA,DLEC1,SDF4,PGM3,FAR1,TDP2,ELOVL6
AC116614.1,CCDC30,BTN2A1,RP11-1114A5.4,STAU2,TMF1,CRAT,RAB18,RP11-326F20.5
C10orf105,MRPS35,MYO9A,AC104532.4,SNUPN,ACER3,FAAH,COG4,TPRN
CTD-3064H18.1,BRMS1,JOSD1,PSPN,SMARCC2,C9orf91,TADA2A,PPOX,DIP2C
ADAM22,CBL,MOCS3,MIR940,UBAP1,EID2B,NHP2L1,BRF2,SUV39H2
