0,1,2,3,4,5,6,7,8
GLTSCR2,IFI30,RPS7,RPS13,HLA-F,HLA-DRB1,DHRS7,PPA1,CAPN1
RPS26,IFITM3,RPL36A,RPL23A,LAG3,ANXA5,SERF2,RAC1,YWHAH
CCR7,C1orf162,RPS21,RPL9,RPL3,LYZ,ALOX5AP,MPC2,RSU1
RPL38,NUP214,RPL35A,RPS18,LITAF,HES4,PPP1R18,RPS11,DNAJB6
RPL35,TMSB4X,GIMAP5,CD72,LAT,CALM2,EFHD2,PRDX3,PKM
RPL34,MT-ND1,GSTK1,RPL19,IFITM1,CSTB,PSMB10,SEC61B,WDR1
JUNB,HLA-DRB1,RPSAP58,MARCH1,SEPT7,ASAH1,PSME2,EIF6,PPDPF
RPL37A,PFDN5,FOS,P2RX5,GZMB,DRAP1,PRSS23,LGALS9,GPX4
RPLP1,CSF3R,RPS2,RPS19,GUK1,CARD16,SEPT7,CNPY3,SEPT5
RPL24,RNF130,RPL19,EEF2,CD3G,WARS,CYBA,COX8A,ACRBP
RPL37,ATP6V0B,PLP2,RPL21,ACTG1,CASP1,XBP1,BST2,PTGS1
RPS21,ACTB,RPL5,RPL13,CTSC,LYN,LITAF,VAMP8,TPM1
RPL27,EIF4A1,ANXA1,RPL7A,FYN,VASP,S1PR5,MRPL23,ACTG1
RPSAP58,TNFSF13B,ZFP36L2,EEF1B2,ANXA6,ISG15,MYL6,RNH1,DYNLL1
RPS4Y1,NFKBIA,CD27,PLEKHF2,PTPRC,EMP3,ZAP70,SUMO3,SNN
C6orf48,CEBPB,MAL,RPLP2,GIMAP4,LILRB2,MYO1F,CCT4,HIST1H2BK
CD7,RGS2,RGCC,SPIB,RAP1B,TPI1,CCND3,AP2S1,HLA-E
IL7R,CTSB,RPL32,RPL37A,UBB,MT2A,XCL1,PFN1,SNX3
RPL29,PRELID1,FYB,RPS7,PPP2R5C,FCN1,UCP2,TPI1,LIMS1
RPL6,CD74,GIMAP4,QRSL1,PPIA,RGS2,ACTB,SSR3,SERF2
PIK3IP1,ALDH2,RPL21,SNX3,SRSF7,RNASET2,CD300A,ARF3,TPST2
RPL26,CAPG,RPL13,MEF2C,APMAP,HLA-DRB5,BIN2,GSN,ARF1
RPL7A,CTSH,RPL24,GLTSCR2,TPST2,C1orf162,NCR3,YWHAE,ARHGDIB
LTB,LAMTOR4,IFITM1,RPL37,HSPA8,SLC7A7,PSME1,CHCHD2,LY6G6F
PRKCQ-AS1,ALDOA,RPL10A,IGLL5,MT-CO1,APOBEC3A,SAMD3,NDUFS8,CMTM5
TOMM7,FKBP1A,RPL38,RPS10,MYO1F,ARRB2,ANXA6,COX5A,GP1BA
AES,SLC7A7,CD40LG,PLAC8,SH3BGRL3,LILRA3,PLEK,NDUFAB1,MYL9
LEF1,FOSB,TMEM123,RPS3A,RPS26,MAFB,ARL4C,C16orf13,RP11-367G6.3
RPL15,MT-CO1,RPL18,RPL35,SLC9A3R1,S100A9,SH3BGRL3,COX5B,GAPDH
RPL28,FPR1,TNFAIP8,PNOC,PPP1R18,MT-CO1,PLEKHF1,NME1,GAS2L1
CD27,LINC00936,CD52,RPL5,TMBIM6,C5AR1,HAVCR2,YIF1B,TSC22D1
TCF7,MNDA,ARL6IP5,RPL11,SUN2,NAAA,CTSD,PDIA6,PLA2G12A
RPS7,ISG15,IL2RG,SWAP70,STK17A,CTSC,IL2RG,IL1B,SH3BGRL
IL32,TIMP1,CD3G,KIAA0125,SH2D1A,HLA-DRA,DRAP1,CD1C,MARCH2
C12orf57,HLA-DRB5,FLT3LG,BLNK,C9orf142,CDKN1C,PPIA,RGS1,CD99
HINT1,LY86,RPS23,CD22,YWHAQ,NINJ1,PPP1CA,PSMB2,FTH1
TMEM123,CNPY3,ARHGAP15,CD19,PLEK,FGL2,CHST12,TXN,MFSD1
RPS9,TCEB2,RPL6,FCRL1,TUBA4A,CDA,PSMB8,LDHA,PARVB
LCK,C20orf24,RPS16,POLD4,RPL21,C19orf38,ABI3,SPINT2,ALDOA
EIF4A2,MYL6,RPL28,RPL27,ARPC5L,CSF1R,HNRNPA2B1,NDUFA8,TMEM50A
ZFP36L2,IGSF6,RPL7A,SYPL1,HSP90AA1,HMOX1,GPR56,CYCS,TSC22D3
HNRNPA1,ASGR1,DDX5,TPD52,ZAP70,HSBP1,AOAH,SNRPB,SRP14
EVL,CTSD,TTC39C,LAT2,HSP90B1,PTPN6,SH2D1B,BZW2,HLA-C
LEPROTL1,APOBEC3A,LAT,RPSAP58,SYNE2,AP2S1,PTGDR,H3F3A,MAX
CD3G,VAMP8,ITM2B,STX7,CIRBP,HLA-DPB1,CCL3,DECR1,H2AFJ
RPL8,SERPINB1,RPS8,HMGN1,PIM1,SH3BGRL3,ANXA1,FIBP,RAB11A
RGCC,VCAN,RPL27,FAM26F,DHRS7,LGALS3,CD164,FKBP1A,C9orf16
RPL23,FGR,SOD1,RPL26,ARL4C,RAC1,C9orf142,SLC25A6,HGD
SELL,ATP6V1F,ACAP1,TSC22D3,MT-ND1,ATP6V0B,NDUFB2,SLC25A3,C2orf88
RHOH,GLRX,RARRES3,RPL30,HSPA5,SLC31A2,MYL12B,HMGA1,AC147651.3
EEF1D,AGTRAP,TSC22D3,PNISR,ACTB,LILRB1,C5orf56,ISOC2,CLEC1B
MAL,LY6E,PIK3IP1,PTMA,SH2D2A,RPS19,C1orf21,ATP5A1,C6orf25
GNB2L1,HLA-DMA,RPS3A,RPS27A,NSG1,PGLS,TBX21,BID,MAP3K7CL
RGS10,ODF3B,RPS15,ARPC3,CFL1,TNFSF10,DBI,RAB7A,NENF
FHIT,HLA-DPA1,GLTSCR2,SNX29P2,XBP1,BLOC1S1,EIF3G,GNAS,MLH3
SOD1,PGLS,EIF4A2,EIF4A2,SSR2,HN1,UBC,FDFT1,SOD2
NDFIP1,CPVL,RPL4,BTG1,S1PR5,CD74,KLRF1,MTDH,VDAC3
PEBP1,BLVRA,TRADD,RPS2,PRR5,ITGB2,CALR,SNRPD1,CD151
COMMD6,ZFP36,RPL35,ORAI2,CLIC1,BLVRA,MALAT1,GABARAP,GSN
GIMAP5,STXBP2,HSP90AA1,CXXC5,PSME1,TSPO,UBE2F,SMARCB1,TUBA1C
DNAJB1,C10orf54,LEPROTL1,SELL,KLRB1,OAZ2,CX3CR1,S100A10,DBNL
LDLRAP1,LILRA5,PPP2R5C,ADAM28,PRKCH,PLAUR,BSG,H2AFJ,RNF11
CXCR4,PLBD1,ANKRD12,GAPT,HNRNPK,TNFRSF1B,SELT,PSMA4,UBL4A
NACA,AMICA1,HNRNPA1,ATP6V1G1,MT-ATP6,CTSL,H3F3B,OSTC,MCUR1
ACAP1,CCL3,LEF1,BIRC3,CCND3,RNH1,GLIPR2,OXA1L,CHMP6
